author,year,entry,title,in,publisher,place,pages,notes,Kortform (særlig),TEI-id,MS i arkivet
EFJ,1932,1932,En kritik af Weisgerber: Muttersprache und Geistesbildung,Besvarelse af Filologisk-historisk samfunds prisopgave,,,,,,,
EFJ,1934,1934,Dialektgeografiens betydning for opfattelsen af lydforandringer,"Tyske Studier, 1",P. Haase & Søns Forlag,København,,,,,
EFJ,1935,1935a,En kritik af John Ries: Was ist ein Satz?,Besvarelse af Universitetets prisopgave,,,,,,,
EFJ,1935,1935b,Diskussion,Det 8. nordiske Filologmøde,,København,46,,,,
EFJ,1935,1935c,Kortfattet tysk lydhistorie ,,G.E.C. Gad,København,,,,,
EFJ,1937,1937,Artikler om tysk filologi og almen lingvistik,Lille Salmonsen,,,,,,,
EFJ,1939,1939,"[Anmeldelse] A. Martinet: La gémination consonantique d'origine expressive dans les langues germaniques, 1937","Bulletin du Cercle Linguistique de Copenhague 1937-38, 4",,,1-2,,,,
EFJ,1940,1940a,"[Anmeldelse] A. W. de Groot: Taalkunde, 1938","Bulletin du Cercle Linguistique de Copenhague 1938-39, 5",,,6-7,,,,
EFJ,1940,1940b,Objektive und subjektive Lautdauer deutscher Vokale,"Archiv für vergleichende Phonetik, 4",,,1-20,,,,
EFJ,1940-41,1940-41a,"[Anmeldelse] B. Faddegon: Phonetics and Phonology, 1938","Acta Linguistica, 2",,,132,,,,
EFJ,1940-41,1940-41b,"[Anmeldelse] A. Gemelli: Nuove applicazioni dei metodi dell'elettroacustica allo studio della psicologia del linguaggio, 1937; Observations sur le phonème au point de vue de la psychologie, 1938; Variations signalatrices et significatives et variations individuelles des unités élémentaires phoniques du langage humain, 1939","Acta Linguistica, 2",,,132-133,,,,
EFJ,1940-41,1940-41c,Neuere Beiträge zum Quantitätsproblem,"Acta Linguistica, 2",,,175-181,,,,
EFJ,1940-41,1940-41d,"[Anmeldelse] E. van den Berg: Naar aanleiding van de vocaalphonemen van het dialect van 's Gravendeel, 1940","Acta Linguistica, 2",,,181-182,,,,
EFJ,1940-41,1940-41e,"[Anmeldelse] B. Collinder: Das Wort als phonetische Einheit, 1939","Acta Linguistica, 2",,,182-183,,,,
