author,year,entry,title,in,publisher,place,pages,notes,Kortform (særlig),TEI-id,MS i arkivet
PD,1928,1928,"[Anmeldelse på tysk] Leopold Magon: Ein Jahrhundert geistiger und literarischer Beziehungen zwischen Deutschland und Skandinavien 1750-1850, Erster Band: Die Klopstockzeit in Dänemark, Johannes Ewald. Dortmund, 1926","Euphorion, 29",,,282-289,,,,
PD,1930,1930,"[Anmeldelse] Anker Jensen: Studier over H.C. Andersens Sprog. Haderslev, 1929",Danske Studier,,,169-174,,,,
PD,1931,1931,"Lip – liude, Loe – lojen, Lolk – louvere, Loyal – luevarm","Ordbog over det danske Sprog, XII",,,,,,,
PD,1932,1932,"Lyt – Læer, Mas – Mechanismus, Membran – menløs","Ordbog over det danske Sprog, XIII",,,,,,,
PD,1933,1933,"Mie – mimse, Mine – mire, Mos – Mosør, Mærl – Møjsommelighed, naae – Nasturtie, Nik – nodre, Nu – nuværende","Ordbog over det danske Sprog, XIV",,,,,,,
PD,1934,1934a,"Nøjagteligen – Okultis, opride – Opsømning, Os – Ovation","Ordsprog over det danske Sprog, XV",,,,,,,
PD,1934,1934b,Om Brugen af det sammenfattende þa i østnordisk Lovsprog,Studier tilegnede Verner Dahlerup,,,92-101,"Også i Danske Folkemaal, 8: 92-101 (tillægsbind), og Sprog og Kultur, 3: 92-101 (tillægsbind)",,,
PD,1935,1935a, Texthistoriske Bemærkninger til Reuelaciones Sancte Birgitte,"Acta Philologica Scandinavica, 10",,,232-249,,,,
PD,1935,1935b,Rektor Krarup paa Katederet,"Herlovianeren. Medlemsblad for Herlovianer-Samfundet, 13",,,2,,,,
PD,1936,1936a,"Pal – palæpudset, Piccolo – Pikør, P-Maal – polær, pro – Propøl","Ordbog over det danske Sprog, XVI",,,,,,,
PD,1936,1936b,"Prolegomena til en metodisk dansk Syntax. [Med udgangspunkt i Ries’ Sætningsdefinition; se J. Ries: Was ist ein Satz? Prag, 1931]",Forhandlinger paa det ottende nordiske Filologmøde i København,,,41-46,Også i 1966b: 21-24,,,
PD,1936,1936c,Om ortografiske Systemer og Lydsystemer i Gammeldansk,Selskab for nordisk Filologi. Aarsberetning for 1935,,,44653,,,,
PD,1936,1936d,[Autoreferat] Diskussionsindlæg i anledning af C.A. Bodelsens meddelelse 14/11-1935: The Expanded Tenses in Modern English,"Bulletin du Cercle Linguistique de Copenhague 1935, 2",,,12,,,,
PD,1936,1936e,"Filologisk Litteraturforskning. [I anledning af Harry Andersen: Studier i Johannes V. Jensens Lyrik. Verseteknik, Sprog og Stil, I. 1936]",Danske Studier,,,173-178,,,,
PD,1937,1937a,[Udgiver] Fragmenter af gammeldanske Haandskrifter (udg.: PD).,"Universitets-jubilæets danske Samfund, 292, 310, 314 (1931-1937)",,København,LXIV + 424,,,,
PD,1937,1937b,Forord; Kronologisk oversigt over de i Foredragene nævnte sprogvidenskabelige Arbejder,Fra Rask til Wimmer: Otte Foredrag om Modersmaalsforskere i det 19. Aarhundrede. Udgivne af Selskab for nordisk Filologi.,,,"1-6, 135-141",,,,
PD,1937,1937c,"Pug – pulvret, Raf – raltet, Rek – Remværk, Rid – ridt, Rom – Rorviser","Ordbog over det danske Sprog, XVII",,,,,,,
PD,1937,1937d,Til St. Hansaften-Spil,Danske Studier,,,179-181,,,,
PD,1937,1937e,Om den danske Sætnings Struktur,Selskab for nordisk Filologi Aarsberetning for 1936,,,5-6,,,,
PD,1937,1937f,Selskab for nordisk Filologi 1912-37 (Selskab for germansk Filologi 1897-1912),Selskab for nordisk Filologi,,København,1-15,,,,
PD,1937,1937g,Niels Rudolph Gade,"Herlovianeren. Medlemsblad for Herlovianer-Samfundet, 15",,,33-35,,,,
PD,1938,1938a,Karl Bühlers Sprachtheorie.,"Bulletin du Cercle Linguistique de Copenhague, 1936-1937, 3",,,10-11,,,,
PD,1938,1938b,Über das unpersönliche und das relative der im Dänischen,"Bulletin du Cercle Linguistique de Copenhague, 1936-1937, 3",,,19-22,,,,
PD,1938,1938c,Probleme der altdänischen Orthographie,"Acta Philologica Scandinavica, 12",,,116-169,,,,
PD,1939,1939a,"Ræ – rækværk, Saison – Salsværelse, separate – Sibøtte, Sie – Sigde, I. Sin – III. Sin","Ordbog over det danske Sprog, XVIII",,,,,,,
PD,1939,1939b,Om Pronominerne sig og sin,"Acta Philologica Scandinavica, 13",,,1-95,,,,
PD,1939,1939c,Akcent – Synkope – Omlyd,"Selskab for nordisk Filologi, Aarsberetning for 1937-38",,,5-7,Også i 1966b: 27-29,,,
PD,1939,1939d,"[Anmeldelse] Otto Jespersen: Analytic Syntax, 1937","Acta Linguistica, 1",,,200-205,,,,
PD,1940,1940a,"Skioue – skizzere, Sko – skoldvarm, Skoling – Skoute, Skryd – skrævs","Ordbog over det danske Sprog, XIX",,,,,,,
PD,1940,1940b,Barnmynd og arfbet. En retsfilologisk Undersøgelse,"Arkiv för nordisk filologi, LV",,,297-315,,,,
PD,1940,1940c,Realitet som grammatisk Kategori,"Nysvenska Studier, 1939, XIX",,,69-91,Også i 1966b: 31-46,,95,
PD,1940,1940d,Kingos Salmer i Nutidens Kirkeliv,"Kristeligt Dagblad, 28/1-1940",,,,,,,
PD,1941,1941a,[Disputats] Sætningsbygningen i Skaanske Lov. Fremstillet som Grundlag for en rationel dansk Syntaks,"Acta Philologica Scandinavica, 15",,,1-252,,,,
PD,1941,1941b,"Slap – Slavver, slinde – slive, sno – Snovægt, Snæbber – snøvse, Son- – Sorrig","Ordbog over det danske Sprog, XX",,,,,,,
