abk	Abkhasisk
ace	Achinesisk
ach	Acoli
ada	Adangme
afa	Afro-asiatiske sprog
afh	Afrihili
afr	Afrikaans
ain	Ainu
aka	Akan
akk	Akkadisk
alb	Albansk
ale	Aleutiske sprog
alg	Algonkiske sprog
amh	Amharisk
ang	Angelsaksisk
apa	Apache sprog
ara	Arabisk
arc	Aramæisk
arm	Armensk
arn	Araukansk
arp	Arapaho
art	Kunstsprog
arw	Arawak
asm	Assamesisk
ath	Athapascan
aus	Australske sprog
ava	Avarisk
ave	Avestisk
awa	Awadhi
aym	Aymará
aze	Aserbajdsjansk
bad	Banda
bai	Bamileke
bak	Bajkirsk
bal	Baluchi
bam	Bambara
ban	Balinesisk
baq	Baskisk
bas	Basa
bat	Baltiske sprog
bej	Beja
bel	Hviderussisk
bem	Bemba
ben	Bengali
ber	Berberiske sprog
bho	Bhojpuri
bih	Bihari
bik	Bikol
bin	Bini
bis	Bislama
bla	Siksika
bnt	Bantu
bos	Bosnisk
bra	Braj
bre	Bretonsk
btk	Batak
bua	Buriat
bug	Buginesisk
bul	Bulgarsk
bur	Burmesisk
cad	Caddo
cai	Mellemamerikanske indianske sprog
car	Caribisk
cat	Catalansk
cau	Kaukasiske sprog
ceb	Cebuano
cel	Keltiske sprog
cha	Chamorro
chb	Chibcha
che	Tjetjensk
chg	Chagatai
chi	Kinesisk
chk	Chuukese
chm	Mari
chn	Chinook
cho	Choctaw
chp	Chipewyan
chr	Cherokee
chu	Kirkeslavisk
chv	Tjuvasisk
chy	Cheyenne
cmc	Chamik sprog
cop	Koptisk
cor	Cornisk
cos	Korsikansk
cpe	Kreolsk
cpe	Pidgin
cre	Cree
crp	Kreolsk og pidgin
cus	Kusjitiske sprog
cze	tchèque
cze	Tjekkisk
dak	Dakota
dan	Dansk
day	Dayak
del	Delaware
den	Slave
dgr	Dogrib
din	Dinka
div	Divehi
doi	Dogri
dra	Dravidiske sprog
dua	Duala
dut	Hollandsk
dyu	Dyula
dzo	Dzongkha
efi	Efik
egy	Egyptisk
eka	Ekajuk
elx	Elamitisk
eng	Engelsk
enm	Middelengelsk
epo	Eperanto
est	Estisk
ewe	Ewe
ewo	Ewondo
fan	Fang
fao	Færøsk
fat	Fanti
fij	Fijian
fin	Finsk
fiu	Finsk - ugrisk
fon	Fon
fre	Fransk
frm	Middelfransk
fro	Oldfransk
fry	Frisisk
ful	Fulah
fur	Friulian
gay	Gayo
gba	Gbaya
gem	Germansk
geo	Georgisk
ger	allemand
ger	Tysk
gez	Geez
gil	Gilbertesisk
gla	Gælisk
gle	Irsk
glg	Gallegan
glv	Manx
gmh	Middelhøjtysk
goh	Oldhøjtysk
gon	Gondi
gor	Gorontalo
got	Gotisk
grb	Grebo
grc	Oldgræsk
grc	oldgræsk
gre	Græsk
grn	Guarani
guj	Gujarati
gwi	Gwich'in
gaa	Ga
hai	Haida
hau	Hausa
haw	Hawaiiansk
heb	Hebraisk
her	Herero
hil	Hiligaynon
him	Himachali
hin	Hindi
hit	Hittitisk
hmn	Hmong
hmo	Hiri motu
hrv	Kroatisk
hun	Ungarsk
hup	Hupa
iba	Iban
ibo	Igbo
ice	Islandsk
ijo	Ijo
iku	Inuktitut
ile	Interlingue
ilo	Iloko
ina	Interlingua
inc	Indiske sprog
ind	Indonesisk
ine	indo-européen
ine	Indoeuropæisk
ipk	Inupiaq
ira	Iranske sprog
iro	Irokesiske sprog
ita	Italiensk
jav	Javanesisk
jpn	Japansk
jpr	Jødisk-persisk
jrb	Jødisk-arabisk
kab	Kabyle
kac	Kachin
kal	Kalaallisut
kam	Kamba
kan	Kannaresisk
kar	Karen
kas	Kashmiri
kau	Kanuri
kaw	Kawi
kaz	Kasakhisk
kha	Khasi
khi	Khoisan
khm	Khmer
kho	Khotanesisk
kik	Kikuyu
kin	Kinyarwanda
kir	Kirgisisk
kmb	Kimbundu
kok	Konkani
kom	Komi
kon	Kongo
kor	Koreansk
kos	Kosraean
kpe	Kpelle
kro	Kru
kru	Kurukh
kua	Kuanyama
kum	Kumyk
kur	Kurdisk
kut	Kutenai
kaa	Karakalpakisk
lad	Ladino
lah	Lahnda
lam	Lamba
lao	Laotisk
lat	Latin
lav	Lettisk
lez	Lezghian
lin	Lingala
lit	Litauisk
lol	Mongo
loz	Lozi
ltz	Letzeburgesch
lua	Luba-lulua
lub	Luba-katanga
lug	Luganda
lui	Luiseño
lun	Lunda
luo	Luo
lus	Lushai
mac	Makedonsk
mad	Madurese
mag	Magahi
mah	Marshall
mai	Maithili
mak	Makasar
mal	Malayalam
man	Mandingo
mao	Maori
map	Malajo-polynesiske sprog
mar	Marathi
mas	Masai
may	Malajisk
mdr	Mandar
men	Mende
mga	Middelirsk
mic	Micmac
min	Minangkabau
mkh	Mon-khmer
mlg	Malagasy
mlt	Maltesisk
mnc	Manchu
mni	Manipuri
mno	Manobo
moh	Mohawk
mol	Moldovisk
mon	Mongolsk
mos	Mossi
mun	Munda
mus	Muskogee
mwr	Marwari
myn	Maya sprog
nah	Nahuatl
nai	Nordamerikanske indianske sprog
nau	Nauru
nav	Navaho
nbl	Sydndebele
nde	Nordndebele
ndo	Ndonga
nep	Nepalesisk
new	Newari
nia	Nias
nic	Niger-congo sprog
niu	Niuean
nmx	nama
nno	Nynorsk
nob	Bokmål
non	Oldislandsk
nor	Norsk
nso	Nordsotho
nub	Nubiske sprog
nya	Nyanja
nym	Nyamwezi
nyn	Nyankole
nyo	Nyoro sprog
nzi	Nzima
oci	Occitansk
oji	Ojibwa
ori	Orija
orm	Oromo
osa	Osage
oss	Ossetisk
ota	Osmannisk
oto	Otomi sprog
pag	Pangasinan
pal	Pahlavi
pam	Pampanga
pan	Panjabi
pap	Papiamento
pau	Paluansk
peo	Oldpersisk
per	Persisk
phi	Filippinske sprog
phn	Fønikisk
pli	Pali
pol	Polsk
pon	Ponape
por	Portugisisk
pra	Prakit
pro	Provencalsk
pus	Pashto
paa	Papua-australske sprog
que	Kechua
raj	Rajasthani
rap	Rapanui
rar	Rarotongan
roa	Romanske sprog
roh	Rætoromansk
rom	Romani
rum	Rumænsk
run	Rundi
rus	Russisk
sad	Sandawe
sag	Sango
sah	Yakut
sai	Sydamerikanske indianske sprog
sal	Salishan languages
sam	Samaritansk
san	Sanskrit
sas	Sasak
sat	Santali
sco	Skotsk
sel	Selkupisk
sem	Semitisk
ser	Serbokroatisk
sga	Oldirsk
shn	Shan
sid	Sidamo
sin	Singalesisk
sio	Siouan languages
sit	Sino-tibetanske sprog
sla	slave
sla	Slaviske sprog
slo	Slovakisk
slv	Slovensk
smi	Sami languages
smo	Samoansk
sna	Shona
snd	Sindhi
snk	Soninke
sog	Sogdiansk
som	Somali
son	Songe
sot	Sotho
spa	Spansk
srd	Sardinsk
srp	Serbisk
srr	Serer
ssa	Afrikanske sprog
ssw	Swati
suk	Sukuma
sun	Sundanesisk
sus	Susu
sux	Sumerisk
swa	Swahili
swe	Svensk
syr	Syrisk
tah	Tahitiansk
tai	Tai
tam	Tamil
tat	Tatarisk
