Startdato;Slutdato;Land;Sted = By / Landområde;Institution;Kategori;Event / Begivenhed;Event-beskrivelse;Personer;Kilde
03-10-1899;;Danmark;København;;L;Fødsel;;;
04-10-1914;;Danmark;København;Hellerup Kirke;L;Konfirmation;;;K12 - 108
10-07-1917;;Danmark;København;Hellerup Gymnasium;L;Studentereksamen, nysproglig-linje;;;K12 - 119
01-09-1917;;Danmark;København;Københavns Universitet;L;Indskrivning;;;K12 - 104
27-05-1918;;Danmark;København;Københavns Universitet;L;Den almindelige filosofiske prøve;;;K12 - 132
1919-;;Danmark;København;Københavns Universitet;L;Guldmedalje for prisopgave i klassisk filologi ;;;K12 - 231
30-03-1921;;Danmark;København;Klub??;F;Foredrag;Bidrag til en fastsættelse af den religiøse etiks relative værdi, paa grundlag af en sammenligning mellem buddhisme og kristianisme;;K91 - 45ff
09-11-1921;;Danmark;København;Studentersamfundet;F;Foredrag;Kulturens disharmonier;;K91 - 110ff
1921 - August;;Litauen;;;;;;;
1921-22;;Danmark;København;Klubben og Studentersamfundet;F;Foredrag;Kritiske bemærkninger om videnskab og logik;;K91 - 134ff
31-03-1922;;Danmark;København;;L;Medunderskriver på oplæg fra Studenter-Samfundets Unge;;;K154 - 9-10
06-04-1922;;Danmark;København;;L;Medunderskriver på oplæg fra Studenter-Samfundets Unges metoder;;;K154 - 11
06-12-1922;;Danmark;København;Studentersamfundet;F;Foredrag;Religiøs etik i buddhisme og kristianisme;;K91 - 45ff
27-10-1923;;Danmark;København;Universitetet;L;Magisterkonferens i Sammenlignende Sprogvidenskab;;;K12 - 114
11-11-1923;28-07-1924;Tjekkoslovakiet;;;R;Studieophold;;;K50 - 2, 1-19
11-11-1923;31-05-1924;Tjekkoslovakiet;Prag;Karls Universitet + Tysk Universitet;Del af Rejse;Studier;;;K50 - 4
01-06-1924;11-07-1924;Tjekkoslovakiet, Mæhren, Bøhmen;Brno, Hradec Králové;;Del af Rejse;;;;K50 - 4
1924-;;Danmark;København;Hellerupgaard Gymnasium;U;Vikariat i latin og engelsk;;;K12 -134
04-02-1925;;Danmark;København;Studentersamfundet;F;Foredrag;Danske studenterforhold i europæisk perspektiv;;K91 - 359ff
02-05-1925;;Danmark;;;L;Tjenesteudygtighedspas;;;
13-05-1925;;Danmark;København;Det filologisk-historiske samfund;F;Foredrag;Kaukasisk problemer;;K91 - 419f, 536
18-05-1925;;Danmark;København;Østre Borgerdydskole;L;Prøve i praktisk undervisningsfærdighed (engelsk og græsk);;;K12 - 128
13-06-1925;;Danmark;København;;L;Bestået prøve i teoretisk pædagogik & skolehygiejne;;;K12 - 126
??-01-1926;??-10?-1926;Frankrig;Paris;Folkeforbundet;L;Attaché ved Institut international de coopération intellectuelle ;;;K 45-F16f18-K154-20
28-03-1928;;Danmark;København;Det filologisk-historiske samfund;F;Foredrag;Den grammatiske videnskab i Sovjetrusland;;K91 - 603f
10-04-1928;15-04-1928;Holland;Haag;Premier Congrès International de Linguistes;N;Deltagelse uden oplæg;;;K68 - 1f.
07-11-1928;;Danmark;København;Selskab for Nordisk Filologi;F;;Pronominalsystemet i de nordiske sprog;;K12 - 240
1929-;;Tyskland;Leipzig;Baltiske Seminar;R;Studier;;;
